epoch,lr-AdamW,step,train_loss,train_loss_dir,train_loss_spd,val_dir_f1_macro,val_f1_A,val_f1_B,val_loss,val_mae_A,val_mae_B
,0.001,0,,,,,,,,,
0,,1510,,,,0.4375203847885132,0.4395158886909485,0.4355248510837555,2.800049304962158,20.38772964477539,18.740354537963867
0,,1510,1.8929641246795654,1.5215108394622803,0.371454119682312,,,,,,
,0.001,1511,,,,,,,,,
1,,3021,,,,0.5140846967697144,0.4481515884399414,0.5800178647041321,3.4535510540008545,22.285486221313477,22.85562515258789
1,,3021,1.5955073833465576,1.2522895336151123,0.34321725368499756,,,,,,
,0.001,3022,,,,,,,,,
2,,4532,,,,0.49224454164505005,0.4542797803878784,0.5302093029022217,3.780662775039673,18.71946144104004,20.25212287902832
2,,4532,1.4161537885665894,1.094757318496704,0.32139572501182556,,,,,,
,0.001,4533,,,,,,,,,
3,,6043,,,,0.4296402931213379,0.405161052942276,0.4541195333003998,4.411133766174316,17.688945770263672,20.50629234313965
3,,6043,1.2919026613235474,0.987481951713562,0.30442142486572266,,,,,,
,0.001,6044,,,,,,,,,
4,,7554,,,,0.472942054271698,0.42674657702445984,0.5191375017166138,5.274778366088867,22.298946380615234,21.061988830566406
4,,7554,1.1496869325637817,0.8639373183250427,0.2857491374015808,,,,,,
,0.001,7555,,,,,,,,,
5,,9065,,,,0.43890538811683655,0.41508182883262634,0.46272891759872437,4.8621625900268555,19.80249786376953,22.42652702331543
5,,9065,1.0661330223083496,0.7917653918266296,0.27436739206314087,,,,,,
,0.001,9066,,,,,,,,,
6,,10576,,,,0.3694603145122528,0.3371904790401459,0.40173012018203735,5.9152913093566895,20.803380966186523,23.75130271911621
6,,10576,0.9945758581161499,0.7300562858581543,0.2645184397697449,,,,,,
,0.0001,10577,,,,,,,,,
7,,12087,,,,0.40962836146354675,0.3987053334712982,0.4205513894557953,5.811926364898682,19.951139450073242,22.903072357177734
7,,12087,0.8161681890487671,0.5755364298820496,0.24063195288181305,,,,,,
,0.0001,12088,,,,,,,,,
8,,13598,,,,0.3957940936088562,0.38901039958000183,0.4025777578353882,6.194712162017822,20.551279067993164,22.84166145324707
8,,13598,0.7516169548034668,0.5170316696166992,0.2345845103263855,,,,,,
,0.0001,13599,,,,,,,,,
9,,15109,,,,0.4088403582572937,0.3846927285194397,0.4329880177974701,6.5894622802734375,21.236955642700195,22.563953399658203
9,,15109,0.7134228944778442,0.4848802983760834,0.228542760014534,,,,,,
,0.0001,15110,,,,,,,,,
10,,16620,,,,0.41065487265586853,0.3914181888103485,0.42989158630371094,6.53135347366333,20.792484283447266,22.893047332763672
10,,16620,0.7016149759292603,0.47454091906547546,0.22707343101501465,,,,,,
,0.0001,16621,,,,,,,,,
11,,18131,,,,0.4034487307071686,0.3842528462409973,0.42264461517333984,7.004898548126221,21.60911750793457,23.21494483947754
11,,18131,0.6735027432441711,0.4488745331764221,0.2246282547712326,,,,,,
,0.0001,18132,,,,,,,,,
12,,19642,,,,0.3897036612033844,0.3759438097476959,0.4034635126590729,7.110264301300049,22.185129165649414,23.3957576751709
12,,19642,0.6546306610107422,0.43436452746391296,0.22026556730270386,,,,,,
,0.0001,19643,,,,,,,,,
13,,21153,,,,0.4043861925601959,0.3785800635814667,0.43019232153892517,7.400642395019531,21.44084358215332,23.71623420715332
13,,21153,0.6412180662155151,0.4222968816757202,0.21892134845256805,,,,,,
,1e-05,21154,,,,,,,,,
14,,22664,,,,0.39725005626678467,0.37311670184135437,0.42138341069221497,7.459474563598633,21.57485580444336,23.524194717407227
14,,22664,0.6104177832603455,0.3960255980491638,0.21439263224601746,,,,,,
