epoch,lr-AdamW,step,train_bce,train_l1,train_loss,val_dir_f1_macro,val_f1_A,val_f1_B,val_fullstop_recall,val_loss,val_signed_mae_A,val_signed_mae_B,val_signed_mae_avg
,0.001,0,,,,,,,,,,,
0,,382,,,,0.28076183795928955,0.401368647813797,0.16015499830245972,0.07006369531154633,2.896423578262329,19.627376556396484,21.457700729370117,20.542537689208984
0,,382,2.038390874862671,0.3702363669872284,2.408628463745117,,,,,,,,
,0.001,383,,,,,,,,,,,
1,,765,,,,0.2979471683502197,0.40390992164611816,0.19198442995548248,0.05095541477203369,3.0131266117095947,19.748493194580078,21.49687957763672,20.6226863861084
1,,765,1.9351599216461182,0.34426113963127136,2.279421091079712,,,,,,,,
,0.001,766,,,,,,,,,,,
2,,1148,,,,0.33059409260749817,0.44129133224487305,0.2198968380689621,0.12101911008358002,2.910708427429199,18.087854385375977,21.843700408935547,19.965776443481445
2,,1148,1.88388192653656,0.3390059173107147,2.2228891849517822,,,,,,,,
,0.001,1149,,,,,,,,,,,
3,,1531,,,,0.29630109667778015,0.41002780199050903,0.18257440626621246,0.09554140269756317,2.8623783588409424,20.09259605407715,21.91579246520996,21.004194259643555
3,,1531,1.8529361486434937,0.33396559953689575,2.186901092529297,,,,,,,,
,0.001,1532,,,,,,,,,,,
4,,1914,,,,0.34341299533843994,0.4181402325630188,0.2686857581138611,0.1146496832370758,2.810910224914551,19.627819061279297,21.992679595947266,20.81024932861328
4,,1914,1.8226184844970703,0.3319251239299774,2.154543876647949,,,,,,,,
,0.001,1915,,,,,,,,,,,
5,,2297,,,,0.33210328221321106,0.3791583776473999,0.28504815697669983,0.15286624431610107,2.8743855953216553,20.377967834472656,22.731985092163086,21.554977416992188
5,,2297,1.7976276874542236,0.32732945680618286,2.1249566078186035,,,,,,,,
,0.001,2298,,,,,,,,,,,
6,,2680,,,,0.34319639205932617,0.43719327449798584,0.24919947981834412,0.19108280539512634,2.829514741897583,19.28819465637207,22.68268585205078,20.98543930053711
6,,2680,1.7768090963363647,0.3254587948322296,2.102268934249878,,,,,,,,
,0.0001,2681,,,,,,,,,,,
7,,3063,,,,0.372856467962265,0.4277695417404175,0.31794342398643494,0.15286624431610107,2.8084614276885986,18.588003158569336,22.1476993560791,20.36785125732422
7,,3063,1.7244843244552612,0.3144204616546631,2.0389039516448975,,,,,,,,
,0.0001,3064,,,,,,,,,,,
8,,3446,,,,0.3739814758300781,0.44154536724090576,0.3064175844192505,0.18471337854862213,2.806187629699707,18.08275032043457,22.631921768188477,20.357336044311523
8,,3446,1.7116844654083252,0.3109535574913025,2.0226387977600098,,,,,,,,
,0.0001,3447,,,,,,,,,,,
9,,3829,,,,0.3600924611091614,0.44240307807922363,0.2777818739414215,0.21019108593463898,2.8004493713378906,18.180767059326172,22.6910343170166,20.43589973449707
9,,3829,1.704773187637329,0.30897170305252075,2.0137453079223633,,,,,,,,
,0.0001,3830,,,,,,,,,,,
10,,4212,,,,0.3427446186542511,0.44277024269104004,0.24271896481513977,0.21019108593463898,2.821929454803467,18.420122146606445,22.414880752563477,20.41750144958496
10,,4212,1.6949981451034546,0.30848169326782227,2.0034799575805664,,,,,,,,
,0.0001,4213,,,,,,,,,,,
11,,4595,,,,0.3621097207069397,0.4221436083316803,0.3020758032798767,0.18471337854862213,2.8494198322296143,18.888954162597656,22.475215911865234,20.682085037231445
11,,4595,1.7033222913742065,0.30762535333633423,2.0109472274780273,,,,,,,,
,0.0001,4596,,,,,,,,,,,
12,,4978,,,,0.36055195331573486,0.42531195282936096,0.29579195380210876,0.14649681746959686,2.866471290588379,18.967182159423828,22.621837615966797,20.794509887695312
12,,4978,1.6906766891479492,0.3078728914260864,1.998550295829773,,,,,,,,
,0.0001,4979,,,,,,,,,,,
13,,5361,,,,0.36867964267730713,0.44110605120658875,0.2962532341480255,0.21019108593463898,2.7938497066497803,18.296064376831055,22.636049270629883,20.46605682373047
13,,5361,1.6858601570129395,0.3076561987400055,1.9935169219970703,,,,,,,,
,1e-05,5362,,,,,,,,,,,
14,,5744,,,,0.38485440611839294,0.44851574301719666,0.3211930990219116,0.21019108593463898,2.807680368423462,18.353971481323242,22.633787155151367,20.493879318237305
14,,5744,1.6820544004440308,0.3076983094215393,1.989753007888794,,,,,,,,
