train_loss,val_acc,val_loss,val_f1_RIGHT,trainer/global_step,epoch,lr-AdamW,train_acc,val_f1_LEFT
,,,,0,,0.0005,,
,0.5178423523902893,1.2741446495056152,0.0,374,0.0,,,0.31814900040626526
1.1939808130264282,,,,374,0.0,,0.5148304104804993,
,,,,375,,0.0005,,
,0.5485477447509766,1.2273006439208984,0.0,749,1.0,,,0.3896985352039337
1.084177851676941,,,,749,1.0,,0.563305675983429,
,,,,750,,0.0005,,
,0.5219917297363281,1.2513810396194458,0.0,1124,2.0,,,0.3576553165912628
1.0413321256637573,,,,1124,2.0,,0.5763213634490967,
,,,,1125,,0.0005,,
,0.5236514806747437,1.2190485000610352,0.0,1499,3.0,,,0.35356664657592773
1.0096707344055176,,,,1499,3.0,,0.591422975063324,
,,,,1500,,0.0005,,
,0.4970954358577728,1.306644320487976,0.0,1874,4.0,,,0.3013295829296112
0.9861741065979004,,,,1874,4.0,,0.5976805090904236,
,,,,1875,,5e-05,,
,0.5419087409973145,1.2310372591018677,0.0,2249,5.0,,,0.3981975018978119
0.9437867999076843,,,,2249,5.0,,0.6149513721466064,
,,,,2250,,5e-05,,
,0.5352697372436523,1.2506837844848633,0.0,2624,6.0,,,0.3827688694000244
0.9340519905090332,,,,2624,6.0,,0.621000349521637,
,,,,2625,,5e-05,,
,0.5427386164665222,1.2350265979766846,0.0,2999,7.0,,,0.3889162242412567
0.9263971447944641,,,,2999,7.0,,0.6267990469932556,
,,,,3000,,5e-05,,
,0.5402489900588989,1.247641682624817,0.0,3374,8.0,,,0.39657533168792725
0.9251879453659058,,,,3374,8.0,,0.6278836727142334,
,,,,3375,,5e-05,,
,0.5336099863052368,1.2405601739883423,0.0,3749,9.0,,,0.3928971588611603
0.9186121225357056,,,,3749,9.0,,0.6284677386283875,
